age,income_level,commute_distance_km,access_to_public_transport,environmental_concern,nudge_type,mode_before,habit_strength,risk_aversion_score,social_conformity_level,tech_comfort,switched_to_public_transport
37,low,3.1,yes,medium,loss_framing,public_transport,medium,5,low,no,0
47,low,9.1,yes,medium,none,car,low,4,high,yes,1
28,high,7.5,yes,medium,social_norm,public_transport,medium,1,high,yes,0
45,high,36.6,yes,low,default,car,high,4,high,yes,1
42,medium,41.1,no,medium,loss_framing,car,medium,1,low,yes,0
56,low,11.5,no,low,none,car,low,4,low,yes,1
50,medium,25.8,no,low,none,car,medium,2,medium,yes,0
18,medium,42.2,yes,high,none,public_transport,medium,4,low,yes,0
44,low,36.9,yes,low,loss_framing,car,high,5,low,yes,1
30,low,27.6,yes,medium,social_norm,car,medium,1,low,yes,0
58,medium,29.9,yes,low,social_norm,public_transport,low,3,medium,yes,0
20,medium,25.9,yes,high,social_norm,car,low,5,medium,yes,1
56,low,15.6,yes,medium,loss_framing,car,high,1,low,yes,0
23,low,28.7,yes,low,default,car,low,1,low,yes,1
25,low,34.8,yes,medium,none,car,high,3,medium,yes,0
44,medium,43.8,no,high,loss_framing,car,low,2,medium,yes,1
26,low,32.2,yes,high,default,car,medium,5,low,yes,1
54,low,38.3,yes,low,none,public_transport,medium,3,medium,yes,0
50,medium,8.8,yes,high,none,car,high,3,high,yes,0
59,low,23.6,no,high,default,car,high,2,high,no,0
61,medium,1.5,yes,high,loss_framing,car,low,5,high,yes,1
41,low,13.1,yes,medium,social_norm,public_transport,medium,3,high,no,0
32,low,36.6,no,medium,none,public_transport,low,2,medium,yes,0
49,low,49.6,no,medium,social_norm,car,medium,5,medium,no,0
49,medium,5.9,yes,high,loss_framing,public_transport,medium,4,medium,yes,0
41,high,20.7,yes,medium,none,car,high,1,medium,yes,0
58,high,40.2,yes,medium,social_norm,car,high,2,medium,yes,0
29,medium,11.0,yes,medium,none,car,medium,1,medium,yes,0
56,medium,28.2,yes,high,loss_framing,car,medium,4,medium,yes,1
19,low,36.9,no,high,none,car,high,3,low,yes,0
20,low,31.2,yes,low,none,public_transport,high,3,high,yes,0
54,high,10.2,yes,high,loss_framing,car,low,5,low,yes,1
34,low,18.4,yes,medium,none,public_transport,medium,2,low,no,0
19,low,39.4,yes,high,default,car,medium,2,low,yes,1
19,low,28.2,yes,medium,none,car,low,5,medium,no,0
45,low,1.3,yes,medium,loss_framing,car,low,1,low,yes,1
40,low,38.3,yes,high,none,car,low,3,high,yes,1
54,medium,2.7,yes,low,loss_framing,car,medium,3,medium,yes,0
49,medium,37.5,yes,high,default,car,low,2,medium,yes,1
50,high,10.9,yes,medium,none,car,low,2,medium,yes,1
18,high,47.9,no,medium,default,car,low,5,medium,yes,1
36,medium,19.0,yes,medium,none,public_transport,high,4,high,yes,0
19,low,17.0,yes,medium,social_norm,car,high,1,medium,no,1
61,medium,8.3,yes,medium,social_norm,car,medium,4,high,yes,1
43,medium,16.0,yes,low,default,car,medium,4,high,no,1
49,low,44.0,yes,low,social_norm,public_transport,high,2,high,no,0
23,medium,49.8,yes,low,social_norm,public_transport,low,2,medium,no,0
49,medium,19.0,no,high,none,car,low,2,low,yes,1
21,medium,23.0,yes,high,none,car,low,4,medium,yes,1
28,medium,36.4,yes,medium,default,car,low,1,medium,yes,1
34,low,44.4,yes,high,loss_framing,public_transport,medium,2,high,yes,0
55,high,30.1,no,medium,loss_framing,car,high,3,high,yes,0
41,medium,20.2,yes,medium,default,car,medium,1,high,yes,1
22,low,21.2,yes,high,loss_framing,car,medium,3,high,yes,1
51,high,35.1,yes,high,default,car,high,1,low,yes,1
23,medium,1.2,yes,medium,social_norm,public_transport,low,2,low,no,0
39,high,31.4,no,high,social_norm,car,low,5,low,yes,1
28,medium,18.4,yes,low,default,car,medium,2,high,yes,1
65,medium,39.9,yes,high,none,car,medium,4,high,no,0
33,low,5.6,no,low,loss_framing,public_transport,low,4,medium,yes,0
50,low,29.8,no,medium,loss_framing,public_transport,medium,1,high,yes,0
26,medium,24.6,no,medium,none,car,medium,4,high,no,0
23,medium,32.5,yes,medium,social_norm,car,medium,2,high,yes,1
33,low,4.2,yes,low,default,public_transport,medium,3,high,yes,0
46,low,29.4,yes,high,loss_framing,car,medium,2,medium,yes,0
20,high,28.5,yes,low,loss_framing,car,low,1,medium,yes,1
37,high,28.5,yes,medium,default,car,medium,4,low,yes,1
53,medium,30.6,yes,low,loss_framing,public_transport,low,3,medium,yes,0
36,low,34.1,yes,medium,loss_framing,car,high,5,medium,yes,1
43,low,40.4,yes,medium,loss_framing,public_transport,medium,3,low,yes,0
20,low,14.2,yes,medium,default,car,medium,3,high,no,1
36,high,41.4,yes,low,social_norm,car,high,2,medium,yes,0
37,low,25.4,no,low,default,car,medium,5,high,no,0
49,medium,4.8,yes,medium,default,car,medium,1,low,yes,1
24,low,3.9,yes,high,loss_framing,car,high,1,medium,no,0
58,medium,17.4,yes,high,loss_framing,car,high,3,medium,yes,0
50,medium,39.5,yes,low,default,car,medium,3,low,yes,1
57,high,35.7,yes,medium,loss_framing,public_transport,low,4,medium,yes,0
56,low,39.6,yes,low,default,public_transport,medium,5,low,no,0
35,low,26.3,yes,low,default,car,high,3,low,yes,1
57,low,22.6,yes,medium,social_norm,car,low,4,low,yes,1
18,high,8.2,yes,medium,social_norm,car,low,5,low,yes,1
28,high,17.1,yes,low,default,car,high,1,high,no,1
45,medium,22.3,no,low,default,public_transport,low,4,low,yes,0
42,medium,5.3,no,low,loss_framing,car,high,5,medium,yes,1
40,medium,11.8,yes,high,none,car,medium,4,high,yes,0
48,low,30.3,yes,high,loss_framing,public_transport,medium,3,medium,yes,0
47,high,37.0,yes,low,social_norm,car,low,2,high,no,1
59,medium,49.9,no,low,loss_framing,car,high,1,high,no,0
52,medium,46.7,yes,high,social_norm,car,medium,3,high,yes,1
24,medium,32.5,yes,high,loss_framing,car,medium,3,low,yes,0
33,low,21.6,no,medium,social_norm,car,medium,5,high,no,1
43,low,32.2,yes,low,none,public_transport,high,4,high,yes,0
65,medium,39.5,no,low,social_norm,public_transport,high,1,medium,no,0
19,low,6.8,yes,medium,social_norm,car,medium,3,low,yes,0
18,medium,21.1,yes,medium,none,public_transport,medium,5,medium,yes,0
65,low,42.2,yes,low,loss_framing,car,high,1,high,yes,0
29,medium,19.8,no,medium,social_norm,public_transport,medium,4,medium,yes,0
22,low,29.0,no,low,loss_framing,car,low,3,high,no,1
54,medium,29.8,yes,high,none,public_transport,low,3,low,yes,0
49,medium,10.0,yes,medium,default,public_transport,high,3,high,no,0
26,low,18.7,yes,low,social_norm,car,medium,1,low,yes,0
58,medium,17.4,no,medium,default,public_transport,medium,1,low,no,0
52,medium,2.3,yes,medium,loss_framing,public_transport,medium,1,medium,yes,0
36,medium,2.2,yes,high,loss_framing,public_transport,low,1,low,no,0
65,high,41.8,yes,medium,default,car,medium,5,low,yes,1
33,medium,14.4,yes,low,social_norm,public_transport,low,2,low,no,0
20,low,26.4,yes,high,social_norm,public_transport,medium,5,medium,yes,0
37,low,15.6,yes,low,loss_framing,car,medium,3,high,yes,0
41,low,47.1,yes,high,loss_framing,public_transport,medium,5,high,no,0
50,medium,13.7,no,medium,none,car,high,4,medium,yes,0
41,low,22.1,yes,medium,none,car,high,1,low,yes,1
28,medium,43.8,yes,low,none,car,high,4,medium,yes,0
25,medium,42.3,no,medium,none,car,low,4,high,yes,1
53,medium,10.1,yes,high,default,car,low,3,medium,yes,1
55,medium,40.3,yes,high,none,car,medium,1,low,yes,0
57,low,23.5,yes,low,social_norm,public_transport,high,4,low,yes,0
37,low,24.7,no,low,default,car,high,3,high,yes,0
52,medium,7.5,yes,high,social_norm,car,high,1,medium,yes,0
65,medium,4.9,no,high,none,car,medium,2,high,no,0
42,medium,36.7,yes,low,social_norm,car,medium,3,medium,yes,0
52,medium,25.3,yes,medium,social_norm,public_transport,medium,5,low,yes,0
42,low,22.4,yes,medium,social_norm,car,low,1,medium,yes,1
46,high,36.7,no,high,default,public_transport,low,4,medium,yes,0
35,medium,38.5,yes,low,default,car,high,4,low,yes,1
63,medium,8.8,no,low,social_norm,car,low,5,low,yes,1
35,low,30.9,yes,high,loss_framing,car,low,5,low,yes,1
19,medium,7.6,yes,low,social_norm,car,low,4,low,yes,1
52,medium,37.8,yes,medium,none,car,high,1,medium,yes,1
33,low,33.2,no,medium,default,car,medium,3,high,no,0
58,high,47.9,yes,medium,none,car,medium,5,medium,yes,0
53,low,4.4,yes,medium,loss_framing,public_transport,high,5,medium,yes,0
50,high,3.8,yes,medium,default,car,medium,5,medium,yes,1
21,medium,14.8,no,low,social_norm,car,medium,2,medium,no,0
50,low,13.8,yes,medium,loss_framing,car,low,1,low,no,0
31,medium,13.1,yes,high,loss_framing,car,low,1,medium,no,0
38,high,45.4,yes,high,default,public_transport,high,1,medium,yes,0
65,medium,13.2,yes,low,loss_framing,car,high,1,low,yes,0
37,high,14.3,yes,low,default,car,medium,1,high,yes,1
25,medium,38.2,no,low,none,public_transport,medium,4,medium,no,0
24,medium,23.0,no,medium,default,car,medium,5,medium,no,0
20,high,39.1,yes,medium,default,car,low,4,low,yes,1
34,low,4.2,yes,medium,none,car,low,2,medium,yes,1
50,medium,24.9,yes,low,loss_framing,car,low,3,high,yes,1
65,low,2.6,yes,low,none,public_transport,low,5,low,yes,0
29,high,4.1,yes,medium,social_norm,public_transport,high,2,low,yes,0
39,high,45.4,yes,medium,social_norm,public_transport,low,4,medium,yes,0
39,low,7.8,yes,low,social_norm,car,low,3,low,yes,1
63,medium,27.1,yes,medium,none,car,medium,2,medium,yes,0
47,high,21.1,yes,low,none,public_transport,high,3,medium,yes,0
55,low,18.0,yes,high,none,car,low,2,low,yes,1
55,medium,45.1,yes,high,loss_framing,car,low,4,low,yes,1
62,high,2.1,yes,low,social_norm,car,medium,3,medium,yes,0
25,low,33.5,yes,low,default,car,high,2,low,no,1
44,medium,48.2,yes,medium,social_norm,car,medium,4,low,no,0
44,low,28.4,yes,low,loss_framing,public_transport,high,5,high,yes,0
51,high,46.9,yes,medium,default,public_transport,high,4,medium,yes,0
38,high,3.6,yes,high,social_norm,car,high,4,medium,yes,0
47,high,21.5,yes,medium,default,car,medium,5,low,yes,1
50,medium,13.7,yes,high,social_norm,car,medium,4,medium,no,0
45,high,36.8,no,medium,loss_framing,public_transport,low,5,medium,no,0
64,high,49.1,yes,low,none,car,high,5,high,yes,1
50,medium,13.6,yes,high,social_norm,public_transport,medium,5,high,no,0
22,high,33.1,yes,medium,none,car,low,2,low,no,0
65,low,10.7,yes,medium,loss_framing,car,medium,3,medium,no,0
36,medium,28.7,yes,low,social_norm,car,low,2,medium,yes,1
21,low,23.7,yes,low,social_norm,public_transport,medium,5,medium,yes,0
52,low,48.6,yes,high,social_norm,car,medium,3,high,yes,1
34,low,30.8,yes,low,none,car,medium,3,medium,yes,1
61,medium,18.1,yes,high,loss_framing,car,high,5,low,yes,1
45,medium,6.6,yes,high,social_norm,public_transport,low,3,medium,no,0
47,medium,8.4,no,high,default,public_transport,medium,3,low,yes,0
46,low,12.0,yes,medium,social_norm,car,medium,2,high,no,1
63,medium,13.3,yes,medium,default,public_transport,medium,3,medium,yes,0
23,medium,42.7,yes,high,default,car,high,5,medium,yes,1
52,medium,28.5,no,low,social_norm,car,medium,1,low,no,0
58,medium,26.6,yes,medium,none,car,medium,1,high,yes,1
54,medium,6.6,yes,medium,social_norm,car,low,1,high,yes,1
41,high,43.1,yes,medium,social_norm,public_transport,high,5,medium,no,0
46,medium,36.4,yes,medium,social_norm,public_transport,medium,1,low,no,0
63,low,4.3,yes,medium,loss_framing,car,high,2,medium,yes,0
48,low,35.7,yes,medium,social_norm,car,low,5,low,no,0
52,high,27.6,yes,high,loss_framing,public_transport,low,5,low,yes,0
50,low,5.0,yes,low,social_norm,public_transport,medium,5,low,no,0
38,high,23.5,yes,high,none,car,high,3,low,no,0
49,medium,24.8,yes,medium,default,public_transport,medium,3,medium,yes,0
40,high,9.1,yes,high,none,car,high,3,high,yes,1
50,medium,47.3,yes,medium,none,car,medium,4,medium,yes,0
20,high,42.6,yes,high,loss_framing,public_transport,medium,2,low,yes,0
35,medium,33.8,no,low,social_norm,car,low,5,medium,no,1
42,medium,23.7,yes,high,loss_framing,car,high,5,medium,yes,1
59,medium,21.2,yes,low,loss_framing,car,low,3,low,no,0
48,medium,32.9,yes,high,social_norm,public_transport,high,5,high,no,0
20,medium,27.7,no,high,loss_framing,public_transport,high,5,medium,no,0
57,high,4.1,yes,low,default,car,high,1,high,no,1
63,high,26.1,yes,low,default,car,medium,5,medium,yes,1
41,medium,40.5,yes,high,social_norm,car,medium,4,medium,yes,0
49,medium,23.5,yes,low,loss_framing,car,high,3,low,yes,0
64,medium,3.5,yes,high,social_norm,car,low,2,medium,yes,1
39,medium,39.5,yes,low,none,public_transport,medium,2,low,yes,0
40,low,10.9,yes,low,loss_framing,car,low,1,high,yes,1
19,low,13.7,no,high,loss_framing,car,medium,2,high,yes,0
44,medium,9.1,yes,medium,default,car,low,2,high,no,1
59,low,17.2,yes,high,none,car,low,3,high,no,1
19,low,38.1,yes,medium,social_norm,public_transport,medium,3,high,yes,0
43,low,26.4,yes,medium,social_norm,car,medium,4,low,yes,1
34,low,11.0,yes,medium,loss_framing,car,medium,1,medium,yes,0
57,low,44.0,yes,medium,none,car,low,2,medium,yes,1
50,high,44.1,yes,medium,default,car,medium,4,medium,no,1
26,medium,43.7,no,medium,social_norm,car,low,1,high,yes,1
60,medium,12.7,no,medium,social_norm,car,medium,2,low,no,0
65,medium,23.1,yes,low,none,car,medium,2,low,yes,0
56,low,49.3,yes,high,loss_framing,car,medium,3,high,yes,0
46,high,38.8,no,low,loss_framing,car,high,5,medium,yes,0
59,medium,2.3,yes,medium,none,car,medium,1,low,yes,0
43,low,4.2,no,low,none,public_transport,high,2,high,yes,0
52,medium,23.7,yes,medium,default,car,medium,1,high,no,1
42,high,45.6,yes,high,none,car,medium,4,low,no,0
41,high,27.4,yes,low,none,car,medium,4,high,yes,0
30,medium,25.4,yes,low,social_norm,car,low,5,high,no,1
24,medium,6.2,yes,low,default,public_transport,medium,2,high,yes,0
53,low,33.2,yes,medium,none,car,medium,3,high,no,0
62,high,41.3,yes,high,social_norm,public_transport,medium,2,medium,yes,0
37,low,19.6,yes,low,none,car,low,1,medium,no,0
18,high,39.0,yes,high,none,car,low,4,low,yes,1
25,medium,48.3,no,medium,none,public_transport,high,1,low,yes,0
63,medium,11.0,yes,medium,default,car,medium,5,medium,yes,1
33,medium,26.6,no,high,none,car,low,4,medium,yes,1
31,low,15.1,yes,medium,none,car,medium,3,low,yes,0
29,low,39.8,yes,medium,loss_framing,public_transport,medium,4,medium,yes,0
40,low,29.3,no,low,default,car,high,2,low,no,0
32,low,32.1,yes,low,loss_framing,public_transport,low,2,high,no,0
45,medium,40.1,yes,low,loss_framing,car,low,4,low,no,1
51,medium,20.4,yes,low,none,public_transport,high,5,medium,no,0
19,low,45.8,yes,medium,loss_framing,car,low,2,medium,no,0
49,high,27.1,yes,medium,social_norm,public_transport,low,2,low,yes,0
40,high,8.7,no,medium,social_norm,car,high,3,high,yes,1
39,high,35.1,yes,low,loss_framing,public_transport,medium,4,medium,no,0
42,high,39.9,yes,low,loss_framing,car,low,2,medium,no,0
39,low,16.5,yes,medium,none,car,low,5,low,yes,1
39,medium,43.0,yes,high,loss_framing,car,low,1,medium,yes,1
59,medium,45.4,yes,low,none,car,low,4,low,yes,1
23,medium,14.6,yes,high,default,car,high,3,medium,no,1
32,low,49.2,yes,medium,default,public_transport,medium,2,medium,yes,0
60,high,7.9,yes,medium,default,public_transport,high,5,high,no,0
54,low,10.9,yes,medium,default,car,high,4,medium,no,1
50,low,10.0,yes,low,social_norm,public_transport,medium,5,low,yes,0
25,medium,44.8,yes,low,social_norm,car,low,5,low,yes,1
61,medium,33.1,yes,medium,loss_framing,car,medium,3,medium,yes,0
61,medium,8.5,no,medium,social_norm,public_transport,high,4,low,yes,0
22,low,22.6,yes,high,loss_framing,car,high,2,low,yes,0
56,high,31.1,yes,medium,loss_framing,public_transport,low,3,high,no,0
21,low,5.1,yes,low,default,car,medium,2,low,yes,1
23,low,44.2,yes,high,loss_framing,car,medium,1,high,yes,0
62,high,40.4,yes,low,loss_framing,car,high,5,low,yes,1
49,high,25.8,yes,medium,default,car,low,1,high,no,1
47,high,48.4,yes,medium,none,car,medium,5,medium,yes,0
64,high,21.5,yes,high,loss_framing,public_transport,high,3,high,no,0
52,medium,49.2,yes,high,default,public_transport,medium,2,low,yes,0
57,medium,33.7,yes,medium,social_norm,public_transport,medium,2,high,yes,0
